127.0.0.1 - - [05/Jun/2024:16:45:20 +0200] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:31:23 +0200] "GET /backend/rest/factories/ HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:31:27 +0200] "GET /backend/rest/chocolates/getAllForFactory/1 HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:31:30 +0200] "OPTIONS /backend/rest/chocolates/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:31:30 +0200] "DELETE /backend/rest/chocolates/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:35:16 +0200] "GET /backend/rest/factories/ HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:36:15 +0200] "OPTIONS /backend/rest/chocolates/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:36:15 +0200] "POST /backend/rest/chocolates/ HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:36:15 +0200] "GET /backend/rest/chocolates/getAllForFactory/6 HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:36:35 +0200] "GET /backend/rest/factories/ HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:36:40 +0200] "GET /backend/rest/chocolates/getAllForFactory/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:36:43 +0200] "GET /backend/rest/factories/ HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:36:46 +0200] "GET /backend/rest/chocolates/getAllForFactory/4 HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [05/Jun/2024:17:36:47 +0200] "GET /backend/rest/factories/ HTTP/1.1" 200 789
